method,concept,prompt,guidance,steps,brisque_mean,brisque_std,clip_score_mean,clip_score_std,fid_mean,fid_std,num_images_mean,num_images_std,one_minus_ms_ssim_mean,one_minus_ms_ssim_std,vendi_inception_mean,vendi_inception_std,vendi_pixel_mean,vendi_pixel_std,n
cads,truck,a close-up photo of a truck,3.0,30.0,31.09581708908081,2.2510485082655443,27.5355224609375,0.15465886271591126,130.12980751565127,0.9574881115851224,64.0,0.0,0.8825061735534109,0.007704105209474942,5.896862506866455,0.1683897645066404,3.7914374666319133,0.24284895688050598,4
cads,truck,a close-up photo of a truck,5.0,30.0,33.6478853225708,1.1201208432742702,27.2215576171875,0.08712696758805091,128.17942686048917,0.19878195514171892,64.0,0.0,0.9019018480600789,0.005458250556881952,4.721769213676453,0.24081768006547444,3.7245333743607545,0.1662681110199883,4
cads,truck,a close-up photo of a truck,7.5,30.0,37.594858169555664,1.4208961556294164,27.04241943359375,0.11457912119434879,126.8917038235905,1.5842765098885836,64.0,0.0,0.9200550395762548,0.005510104947502398,4.433988928794861,0.17841961065519585,3.731649165428435,0.1092560725187086,4
cads,truck,a cropped photo of a truck,3.0,30.0,22.51994776725769,1.6144794326229794,27.6505126953125,0.11689305932635476,126.74879693253658,1.2316252229975104,64.0,0.0,0.8628765479696449,0.021465389589801962,4.630869388580322,0.41178931644893757,2.8243352306256693,0.16345927527711096,4
cads,truck,a cropped photo of a truck,5.0,30.0,23.585008144378662,1.608632214898542,27.17645263671875,0.10885430325342853,125.95979040218572,0.5168765847323554,64.0,0.0,0.8571387793961913,0.022629991820813728,3.9546775817871094,0.23582130780017052,2.5272748313948528,0.0932067093987514,4
cads,truck,a cropped photo of a truck,7.5,30.0,28.369200706481934,1.4785158374961367,26.801513671875,0.10147619248220754,125.1668691421689,0.6420511755306191,64.0,0.0,0.8446306723169983,0.026461456405053572,3.63422954082489,0.10555699877172418,2.471835437036548,0.07771917489063297,4
cads,truck,a photo of a truck,3.0,30.0,20.26151466369629,2.070142831820593,26.6102294921875,0.07196601412596412,126.52194494462994,0.5949071624784542,64.0,0.0,0.8410837284615263,0.02795311302440931,4.112338185310364,0.08652233591639032,2.663844602744642,0.21385036131919197,4
cads,truck,a photo of a truck,5.0,30.0,23.344457626342773,1.7410483227491302,26.38006591796875,0.16182016519106915,124.83260556171997,0.4491508213349141,64.0,0.0,0.8281659209355712,0.02481491227382572,3.6233277320861816,0.18280745606691368,2.37533700718295,0.060350257360920416,4
cads,truck,a photo of a truck,7.5,30.0,29.244600772857666,1.089748909313821,26.238037109375,0.07488526999763065,125.10575138491822,0.6113086178752093,64.0,0.0,0.8209145096596331,0.025588539422384857,3.3546364307403564,0.16310182457704953,2.298545197291117,0.0863794903613633,4
cads,truck,a photo of one truck,3.0,30.0,18.576905568440754,1.8118374440240095,27.472819010416668,0.019230368805652955,125.70805672563802,0.7048622709779472,64.0,0.0,0.8330365320233007,0.0358994683701665,4.173124313354492,0.1200647355262232,2.5761331817415036,0.14369347100810645,3
cads,truck,a truck,3.0,30.0,22.758300304412842,2.887617436400593,26.03985595703125,0.10602477174533607,126.13952463887446,0.7078513585639571,64.0,0.0,0.8274045030865818,0.03169268116450166,4.434096455574036,0.17386006053600161,2.7312738524211824,0.2230628351673858,4
cads,truck,a truck,5.0,30.0,26.48443078994751,2.1878727692296347,25.75933837890625,0.13060076386815905,125.83483304523436,1.0649871489603822,64.0,0.0,0.8218493066774681,0.018070293074246173,4.026523411273956,0.14618692676412953,2.4380363010092068,0.15171298345415307,4
cads,truck,a truck,7.5,30.0,31.94554567337036,2.342590595163498,25.91864013671875,0.1696969220406623,125.61884496441292,0.6756803661386348,64.0,0.0,0.8029645586665719,0.030622100781609082,3.7596815824508667,0.1505093728836966,2.310512037981445,0.1243766314809501,4
